date,symbol,content,TF-IDF
03月06日 ,sh000300,网,"[(0, 1.0)]"
03月04日 ,sh000300,中国A股走出自己的独立行情,"[(1, 0.4090404280855617), (2, 0.4090404280855617), (3, 0.4090404280855617), (4, 0.24064107514621566), (5, 0.4090404280855617), (6, 0.32484075161588866), (7, 0.4090404280855617)]"
02月26日 ,sh000300,外汇交易如何选择安全平台 辨别正规性,"[(8, 0.12480740063928049), (9, 0.3591776473203561), (10, 0.3591776473203561), (11, 0.3591776473203561), (12, 0.3591776473203561), (13, 0.3591776473203561), (14, 0.3591776473203561), (15, 0.3591776473203561), (16, 0.2852420663288697)]"
12月31日 ,sh000300,农银0丨39,"[(17, 0.5), (18, 0.5), (19, 0.5), (20, 0.5)]"
12月27日 ,sh000300,期权开户微信phv991: 1.券商户单,"[(8, 0.12499472781476927), (21, 0.28567019471182037), (22, 0.21162364158659583), (23, 0.28567019471182037), (24, 0.35971674783704494), (25, 0.35971674783704494), (26, 0.35971674783704494), (27, 0.35971674783704494), (28, 0.35971674783704494), (29, 0.35971674783704494)]"
12月24日 ,sh000300,服了....撑不住4000,"[(30, 0.5014573722910307), (31, 0.3982339605909892), (32, 0.2950105488909477), (33, 0.5014573722910307), (34, 0.5014573722910307)]"
12月16日 ,sh000300,沪深300指数4000点和上证50指数3,"[(31, 0.2541910471360039), (35, 0.3200781127947082), (36, 0.3200781127947082), (37, 0.3200781127947082), (38, 0.3200781127947082), (39, 0.2541910471360039), (40, 0.5083820942720078), (41, 0.2541910471360039), (42, 0.3200781127947082), (43, 0.18830398147729951)]"
12月15日 ,sh000300,与其盲目追逐所谓高成长科技股,"[(44, 0.3883479257840558), (45, 0.3883479257840558), (46, 0.308407735368828), (47, 0.3883479257840558), (48, 0.3883479257840558), (49, 0.3883479257840558), (50, 0.3883479257840558)]"
11月15日 ,sh000300,见红才高兴,"[(51, 0.7071067811865476), (52, 0.7071067811865476)]"
11月08日 ,sh000300,千万不要相信所谓你好消息了,"[(32, 0.26149817506716877), (46, 0.35299569569903577), (53, 0.35299569569903577), (54, 0.29947307722043326), (55, 0.4444932163309028), (56, 0.4444932163309028), (57, 0.4444932163309028)]"
09月30日 ,sh000300,还有你说,"[(54, 0.4300925253123495), (58, 0.6383652636502263), (59, 0.6383652636502263)]"
09月23日 ,sh000300,今天做多了，不知道明天会怎样，大庆在即,"[(32, 0.18736708149652528), (60, 0.3184855751575804), (61, 0.25292632832705286), (62, 0.3184855751575804), (63, 0.21457662735567187), (64, 0.3184855751575804), (65, 0.3184855751575804), (66, 0.25292632832705286), (67, 0.3184855751575804), (68, 0.3184855751575804), (69, 0.21457662735567187), (70, 0.25292632832705286), (71, 0.26887500176301893)]"
09月11日 ,sh000300,明天市场将上演3000点争夺大战：对于近,"[(43, 0.20211007516261142), (69, 0.2314606062954488), (72, 0.3435456378953089), (73, 0.3435456378953089), (74, 0.3435456378953089), (75, 0.3435456378953089), (76, 0.3435456378953089), (77, 0.3435456378953089), (78, 0.2314606062954488), (79, 0.3435456378953089), (80, 0.16074282492910005)]"
09月04日 ,sh000300,[成交][成交][成交][成交][成交],"[(81, 0.5281041287834485), (82, 0.5281041287834485), (83, 0.664990269345161)]"
08月27日 ,sh000300,"明天有好戏吧
摇来摇去跟之前差不多3820！呵…呵…… ","[(69, 0.14145721495213395), (84, 0.08030043748726383), (85, 0.20995801369150846), (86, 0.6298740410745254), (87, 0.20995801369150846), (88, 0.20995801369150846), (89, 0.4199160273830169), (90, 0.20995801369150846), (91, 0.20995801369150846), (92, 0.20995801369150846), (93, 0.20995801369150846), (94, 0.1667388216234269), (95, 0.20995801369150846), (96, 0.14145721495213395)]"
08月20日 ,sh000300,短线牛股，快进快出，今买明卖,"[(71, 0.31153867863227613), (97, 0.369021197944925), (98, 0.369021197944925), (99, 0.369021197944925), (100, 0.369021197944925), (101, 0.369021197944925), (102, 0.29305935323720717), (103, 0.369021197944925)]"
08月15日 ,sh000300,好啊，收到最高,"[(71, 0.20650807577763552), (104, 0.48922244803325876), (105, 0.48922244803325876), (106, 0.48922244803325876), (107, 0.48922244803325876)]"
08月07日 ,sh000300,没有人有看法吗[嘻嘻],"[(81, 0.3173730072417871), (82, 0.3173730072417871), (108, 0.39963702244627164), (109, 0.39963702244627164), (110, 0.39963702244627164), (111, 0.39963702244627164), (112, 0.39963702244627164)]"
08月05日 ,sh000300,"沪指最低2838点，消化了周末利空
大金融集体跳空低开带领指数下行 ","[(32, 0.15679500063456306), (40, 0.2116571571366094), (41, 0.2116571571366094), (43, 0.15679500063456306), (71, 0.11250176854794133), (84, 0.1019328441325167), (113, 0.2665193136386558), (114, 0.2665193136386558), (115, 0.2665193136386558), (116, 0.2665193136386558), (117, 0.2665193136386558), (118, 0.17956485287421692), (119, 0.2665193136386558), (120, 0.15679500063456306), (121, 0.2665193136386558), (122, 0.2665193136386558), (123, 0.2665193136386558), (124, 0.2665193136386558), (125, 0.2665193136386558)]"
07月03日 ,sh000300,恒指07合约28830附近空 止损35个,"[(8, 0.1304312976701549), (126, 0.298095246522437), (127, 0.3753624095538039), (128, 0.3753624095538039), (129, 0.3753624095538039), (130, 0.298095246522437), (131, 0.2528968536119794), (132, 0.298095246522437), (133, 0.3753624095538039), (134, 0.298095246522437)]"
07月01日 ,sh000300,"由于市场担忧美伊局势可能影响供应
黄金操作建议     1、1398做空 ","[(8, 0.4455906346247677), (22, 0.15088238424890352), (78, 0.17279360323554313), (84, 0.09808903660028888), (135, 0.2564690795461328), (136, 0.15088238424890352), (137, 0.2564690795461328), (138, 0.2564690795461328), (139, 0.2564690795461328), (140, 0.2564690795461328), (141, 0.2564690795461328), (142, 0.20367573189751814), (143, 0.2564690795461328), (144, 0.20367573189751814), (145, 0.2564690795461328), (146, 0.2564690795461328), (147, 0.20367573189751814)]"
06月28日 ,sh000300,"黄金换合约，点位关注换08，请关注
从以前日线上看 
美国能源资料协会(EIA)是美国能源部下 
恒指已换合约，点位关注换07，请关注 
大非农：是指美国非农就业率 ","[(8, 0.12721967819027533), (71, 0.20605950677817841), (80, 0.05710171591082205), (84, 0.18670134574366817), (118, 0.08222325189979067), (120, 0.07179687242488567), (126, 0.0969184084138543), (130, 0.1938368168277086), (131, 0.08222325189979067), (147, 0.0969184084138543), (148, 0.12203994440282293), (149, 0.12203994440282293), (150, 0.12203994440282293), (151, 0.12203994440282293), (152, 0.12203994440282293), (153, 0.12203994440282293), (154, 0.12203994440282293), (155, 0.12203994440282293), (156, 0.4881597776112917), (157, 0.12203994440282293), (158, 0.12203994440282293), (159, 0.12203994440282293), (160, 0.36611983320846875), (161, 0.08222325189979067), (162, 0.1938368168277086), (163, 0.24407988880564585), (164, 0.0969184084138543), (165, 0.12203994440282293), (166, 0.12203994440282293), (167, 0.12203994440282293), (168, 0.24407988880564585), (169, 0.12203994440282293), (170, 0.24407988880564585)]"
06月25日 ,sh000300,心照女王驾到！,"[(96, 0.36252346137807107), (171, 0.5380758124869462), (172, 0.5380758124869462), (173, 0.5380758124869462)]"
06月27日 ,sh000300,实力就是话语权！,"[(96, 0.36252346137807107), (174, 0.5380758124869462), (175, 0.5380758124869462), (176, 0.5380758124869462)]"
06月14日 ,sh000300,"卖出形态的波段操作
IF3659多，止损3652 ","[(4, 0.21392818534844227), (66, 0.2887810922478085), (71, 0.15349532253291934), (84, 0.13907527844907602), (132, 0.2887810922478085), (144, 0.2887810922478085), (177, 0.3636339991471748), (178, 0.3636339991471748), (179, 0.3636339991471748), (180, 0.3636339991471748), (181, 0.3636339991471748)]"
06月13日 ,sh000300,6.13恒指分析 行情回顾：昨日恒指小幅,"[(6, 0.2846070341026023), (8, 0.12452954287971978), (80, 0.16768279910408965), (131, 0.4829075557564648), (182, 0.35837801287674514), (183, 0.35837801287674514), (184, 0.35837801287674514), (185, 0.35837801287674514), (186, 0.35837801287674514)]"
06月12日 ,sh000300,"大基建板块：建研院、达刚路机、华阳国际一
今日市场震荡回落 
股市（指）收评:        虽然两市 
5G龙头股欣天科技开盘再度涨停 
股市（指）早评：          市场 ","[(8, 0.7759341497723058), (23, 0.08444594634556148), (78, 0.14328382877766618), (80, 0.09950655436796209), (84, 0.1626746877434296), (118, 0.07164191438883309), (120, 0.12511461828141887), (136, 0.12511461828141887), (187, 0.10633458355041353), (188, 0.10633458355041353), (189, 0.08444594634556148), (190, 0.10633458355041353), (191, 0.10633458355041353), (192, 0.10633458355041353), (193, 0.10633458355041353), (194, 0.10633458355041353), (195, 0.10633458355041353), (196, 0.10633458355041353), (197, 0.08444594634556148), (198, 0.08444594634556148), (199, 0.08444594634556148), (200, 0.10633458355041353), (201, 0.10633458355041353), (202, 0.10633458355041353), (203, 0.08444594634556148), (204, 0.16889189269112295), (205, 0.10633458355041353), (206, 0.10633458355041353), (207, 0.10633458355041353), (208, 0.10633458355041353), (209, 0.10633458355041353), (210, 0.14328382877766618), (211, 0.14328382877766618)]"
06月11日 ,sh000300,"十三、看清事物本质
十二、深刻领会回报率和风险比率 1、股指 
十一、妥善处理亏损 亏损的交易是天天存在 
浙江世宝（603703）：无人驾驶的老龙 
bdhz111 
做投资必须独立思考，必须抛开羊群心理 
股市（指）收评：        两市开盘 
6.11精选个股： 1.汇金科技3005 
2890点附近是今天日线级别第一个分时线 
今天重点仍然是权重股 
昨天的推的票冠农股份拉升5个点 
今年4月份后 
新疆建成国内最大稠油生产基地 被誉为石油 
股市（指）早评：           目 ","[(4, 0.14094398267468733), (8, 0.7284204067200246), (21, 0.04756497746692168), (22, 0.07047199133734366), (39, 0.04756497746692168), (43, 0.03523599566867183), (61, 0.09512995493384337), (63, 0.04035298544287183), (71, 0.025282131529896203), (80, 0.1120960145784879), (84, 0.29779118031548574), (120, 0.07047199133734366), (134, 0.04756497746692168), (136, 0.14094398267468733), (161, 0.04035298544287183), (162, 0.14269493240076503), (189, 0.04756497746692168), (197, 0.04756497746692168), (198, 0.04756497746692168), (199, 0.04756497746692168), (203, 0.04756497746692168), (204, 0.09512995493384337), (210, 0.12105895632861549), (211, 0.12105895632861549), (212, 0.059893959265171534), (213, 0.059893959265171534), (214, 0.059893959265171534), (215, 0.059893959265171534), (216, 0.059893959265171534), (217, 0.059893959265171534), (218, 0.059893959265171534), (219, 0.059893959265171534), (220, 0.059893959265171534), (221, 0.059893959265171534), (222, 0.059893959265171534), (223, 0.09512995493384337), (224, 0.04756497746692168), (225, 0.059893959265171534), (226, 0.059893959265171534), (227, 0.059893959265171534), (228, 0.059893959265171534), (229, 0.059893959265171534), (230, 0.059893959265171534), (231, 0.059893959265171534), (232, 0.059893959265171534), (233, 0.059893959265171534), (234, 0.059893959265171534), (235, 0.059893959265171534), (236, 0.059893959265171534), (237, 0.059893959265171534), (238, 0.059893959265171534), (239, 0.04756497746692168), (240, 0.11978791853034307), (241, 0.059893959265171534), (242, 0.059893959265171534), (243, 0.059893959265171534), (244, 0.059893959265171534), (245, 0.059893959265171534), (246, 0.059893959265171534), (247, 0.059893959265171534), (248, 0.059893959265171534), (249, 0.059893959265171534), (250, 0.059893959265171534), (251, 0.059893959265171534), (252, 0.059893959265171534), (253, 0.059893959265171534), (254, 0.059893959265171534), (255, 0.059893959265171534), (256, 0.059893959265171534), (257, 0.059893959265171534), (258, 0.059893959265171534), (259, 0.059893959265171534), (260, 0.059893959265171534), (261, 0.059893959265171534), (262, 0.059893959265171534), (263, 0.059893959265171534), (264, 0.059893959265171534), (265, 0.059893959265171534), (266, 0.059893959265171534), (267, 0.059893959265171534), (268, 0.04756497746692168), (269, 0.059893959265171534), (270, 0.059893959265171534), (271, 0.059893959265171534)]"
06月10日 ,sh000300,"做期货股指的朋友可以线下交流
看小时图（60分钟）的目的： 1、 日线 
当你知道时间框架对价格波动的影响之后 
首先 
六、永远不要摊薄亏损 做短线只是根据图表 
五、平衡交易心理 股指期货短线交易心理有 
四、选择最佳交易机会 短线交易并不是时刻 ","[(4, 0.19513742724959424), (8, 0.384190685921963), (16, 0.08780516584382433), (22, 0.06504580908319808), (53, 0.08780516584382433), (54, 0.07449179559832345), (63, 0.1489835911966469), (70, 0.08780516584382433), (80, 0.05173243883769718), (84, 0.2537187139354309), (94, 0.08780516584382433), (102, 0.08780516584382433), (136, 0.26018323633279233), (142, 0.08780516584382433), (161, 0.07449179559832345), (164, 0.08780516584382433), (210, 0.07449179559832345), (211, 0.07449179559832345), (223, 0.08780516584382433), (224, 0.17561033168764867), (239, 0.17561033168764867), (268, 0.17561033168764867), (272, 0.11056452260445061), (273, 0.11056452260445061), (274, 0.11056452260445061), (275, 0.11056452260445061), (276, 0.11056452260445061), (277, 0.11056452260445061), (278, 0.11056452260445061), (279, 0.11056452260445061), (280, 0.11056452260445061), (281, 0.11056452260445061), (282, 0.11056452260445061), (283, 0.11056452260445061), (284, 0.11056452260445061), (285, 0.11056452260445061), (286, 0.11056452260445061), (287, 0.11056452260445061), (288, 0.11056452260445061), (289, 0.11056452260445061), (290, 0.11056452260445061), (291, 0.11056452260445061), (292, 0.11056452260445061), (293, 0.11056452260445061), (294, 0.11056452260445061), (295, 0.22112904520890123), (296, 0.11056452260445061), (297, 0.11056452260445061), (298, 0.11056452260445061), (299, 0.11056452260445061), (300, 0.11056452260445061), (301, 0.11056452260445061), (302, 0.22112904520890123), (303, 0.11056452260445061), (304, 0.11056452260445061)]"
